"","time","sup_geno","inoc_geno","N","OD","median","sd","se","ci"
"1",0,"100% TY","CC",30,0,0,0,0,0
"2",0,"100% TY","OA",30,0,0,0,0,0
"3",0,"100% TY","OC",35,0,0,0,0,0
"4",0,"100% TY","OE",25,0,0,0,0,0
"5",0,"50% TY","CC",30,0,0,0,0,0
"6",0,"50% TY","OA",30,0,0,0,0,0
"7",0,"50% TY","OC",35,0,0,0,0,0
"8",0,"50% TY","OE",25,0,0,0,0,0
"9",0,"CC","CC",180,0,0,0,0,0
"10",0,"CC","OA",180,0,0,0,0,0
"11",0,"CC","OC",210,0,0,0,0,0
"12",0,"CC","OE",150,0,0,0,0,0
"13",0,"OA","CC",180,0,0,0,0,0
"14",0,"OA","OA",180,0,0,0,0,0
"15",0,"OA","OC",210,0,0,0,0,0
"16",0,"OA","OE",150,0,0,0,0,0
"17",0,"OC","CC",210,0,0,0,0,0
"18",0,"OC","OA",210,0,0,0,0,0
"19",0,"OC","OC",245,0,0,0,0,0
"20",0,"OC","OE",175,0,0,0,0,0
"21",0,"OE","CC",150,0,0,0,0,0
"22",0,"OE","OA",150,0,0,0,0,0
"23",0,"OE","OC",175,0,0,0,0,0
"24",0,"OE","OE",125,0,0,0,0,0
"25",24,"100% TY","CC",30,0.0370766666666667,0.0357,0.0127659483306807,0.00233073262288641,0.00476688344821299
"26",24,"100% TY","OA",30,0.0591433333333333,0.061,0.0170183204190383,0.00310710599478602,0.0063547452817846
"27",24,"100% TY","OC",35,0.0439857142857143,0.0471,0.0134308499765442,0.00227022800045934,0.00461365838883284
"28",24,"100% TY","OE",25,0.051472,0.0498,0.0134208022611666,0.00268416045223331,0.00553983489654316
"29",24,"50% TY","CC",30,0.05784,0.0538,0.015120130450085,0.00276054550664409,0.00564594949864473
"30",24,"50% TY","OA",30,0.0510633333333333,0.05495,0.0142317150281924,0.00259834378430875,0.00531420972811953
"31",24,"50% TY","OC",35,0.0431542857142857,0.0446,0.0170698106894831,0.00288532462632538,0.00586368512944896
"32",24,"50% TY","OE",25,0.075632,0.0755,0.0128396105859952,0.00256792211719904,0.00529993076405989
"33",24,"CC","CC",150,0.0586386666666667,0.05855,0.0187512032246297,0.00153102933211911,0.00302533413569604
"34",24,"CC","OA",180,0.0541372222222222,0.05495,0.0198866369061331,0.00148226239886566,0.00292495644606049
"35",24,"CC","OC",210,0.0490933333333333,0.0508,0.0160096129415759,0.00110476825093832,0.0021779174396696
"36",24,"CC","OE",150,0.04744,0.0504,0.0182633531180365,0.00149119653771525,0.00294662400904983
"37",24,"OA","CC",180,0.0457716666666667,0.04735,0.0171209280115785,0.001276118629059,0.00251817182494844
"38",24,"OA","OA",150,0.04423,0.0382,0.022655404410279,0.00184980602405277,0.00365524107969712
"39",24,"OA","OC",210,0.0455857142857143,0.043,0.0196178828124336,0.00135376252760748,0.00266877964273807
"40",24,"OA","OE",150,0.0515213333333333,0.05315,0.0188979299554092,0.00154300951952033,0.00304900714387203
"41",24,"OC","CC",210,0.0433680952380952,0.0431,0.0201458671409721,0.00139019690770717,0.00274060563136081
"42",24,"OC","OA",210,0.0404642857142857,0.04445,0.0243882219340521,0.00168294720102871,0.00331772754697693
"43",24,"OC","OC",210,0.0520914285714286,0.0542,0.0180803846461906,0.00124766507439984,0.00245962130256203
"44",24,"OC","OE",175,0.0505605714285714,0.0515,0.017368894435872,0.00131296500644145,0.00259138779391277
"45",24,"OE","CC",150,0.039676,0.0386,0.0207932412870499,0.00169776104172815,0.00335479819102214
"46",24,"OE","OA",150,0.00412933333333333,0.0048,0.02224154027145,0.00181601415862053,0.0035884679083043
"47",24,"OE","OC",175,0.0286217142857143,0.0297,0.0218129848344779,0.00164890666354434,0.00325443296679421
"48",24,"OE","OE",100,0.04719,0.0471,0.0268888227313653,0.00268888227313653,0.00533532578717772
"49",39,"100% TY","CC",30,0.16448,0.15885,0.0182254918102129,0.00332750432869309,0.00680551048736799
"50",39,"100% TY","OA",30,0.217356666666667,0.23395,0.0368399397518446,0.00672602200640552,0.0137562595811375
"51",39,"100% TY","OC",35,0.170122857142857,0.1746,0.0174245277717138,0.00294528275657983,0.00598553471044751
"52",39,"100% TY","OE",25,0.188656,0.1893,0.0152696616421801,0.00305393232843602,0.00630300653996843
"53",39,"50% TY","CC",30,0.143543333333333,0.146,0.0152184707042039,0.00277849989847467,0.0056826703530231
"54",39,"50% TY","OA",30,0.159833333333333,0.16635,0.0221270989003784,0.00403983706662833,0.0082623945180547
"55",39,"50% TY","OC",35,0.118922857142857,0.1159,0.0149714843799075,0.00253064274465608,0.00514288482287203
"56",39,"50% TY","OE",25,0.153776,0.154,0.00784741358665388,0.00156948271733078,0.00323925312279904
"57",39,"CC","CC",149,0.143053020134228,0.1406,0.0159898217501304,0.00130993723811165,0.00258859644145468
"58",39,"CC","OA",180,0.152201111111111,0.1609,0.034014267445,0.0025352738070626,0.00500286957975259
"59",39,"CC","OC",210,0.134809523809524,0.13635,0.018469610492208,0.00127452420951409,0.0025125708498812
"60",39,"CC","OE",150,0.136199333333333,0.14115,0.0231582634784607,0.00189086429503866,0.00373637276421837
"61",39,"OA","CC",180,0.137152222222222,0.1383,0.0210090069951535,0.00156591892603106,0.00309003632569229
"62",39,"OA","OA",150,0.152471333333333,0.1621,0.0395842391804981,0.0032320395949502,0.00638655283043482
"63",39,"OA","OC",210,0.146004285714286,0.13985,0.0374966592542453,0.00258751531417505,0.00510097454680442
"64",39,"OA","OE",150,0.148955333333333,0.15555,0.0285511798476615,0.00233119407270682,0.0046064702074196
"65",39,"OC","CC",210,0.124017142857143,0.12575,0.0274162716925581,0.00189190248606071,0.00372965770427082
"66",39,"OC","OA",210,0.131068571428571,0.14285,0.0445205910411975,0.00307221265590961,0.00605649693136664
"67",39,"OC","OC",210,0.134544285714286,0.13135,0.0235610637105281,0.00162586786081064,0.00320520250799234
"68",39,"OC","OE",175,0.136597714285714,0.1395,0.0268486369317012,0.00202956618178131,0.00400573739940018
"69",39,"OE","CC",150,0.120724666666667,0.1173,0.0196037249462274,0.00160063743920422,0.00316288067257022
"70",39,"OE","OA",150,0.0675386666666667,0.074,0.0428954993441282,0.00350240285516682,0.00692079419538586
"71",39,"OE","OC",175,0.111259428571429,0.1135,0.0251952036512491,0.0019045783740809,0.00375905003326801
"72",39,"OE","OE",100,0.124512,0.1349,0.0303358016977706,0.00303358016977706,0.00601928119686805
"73",48,"100% TY","CC",30,0.223703333333333,0.2235,0.0183290514330879,0.00334641164252488,0.00684418028606987
"74",48,"100% TY","OA",30,0.2791,0.2913,0.0336803841406548,0.00614916871309195,0.0125764621264907
"75",48,"100% TY","OC",35,0.219194285714286,0.2177,0.0164191950590324,0.00277535051267174,0.00564019084080925
"76",48,"100% TY","OE",25,0.227232,0.2247,0.0129075791688449,0.00258151583376899,0.00532798681613579
"77",48,"50% TY","CC",30,0.183836666666667,0.1835,0.0175175672089346,0.0031982555709821,0.00654116709688864
"78",48,"50% TY","OA",30,0.206446666666667,0.21315,0.0263946406960062,0.00481898003548214,0.00985592081341379
"79",48,"50% TY","OC",35,0.15258,0.1484,0.0208913829688927,0.00353128824066451,0.00717644113790868
"80",48,"50% TY","OE",25,0.192712,0.1944,0.0117714810736231,0.00235429621472462,0.00485902857121644
"81",48,"CC","CC",149,0.196636912751678,0.1952,0.0188325851485523,0.00154282548995868,0.00304881215442799
"82",48,"CC","OA",180,0.191136111111111,0.19955,0.0373562881469996,0.00278437332279203,0.00549441900770874
"83",48,"CC","OC",210,0.181780952380952,0.17955,0.0236886628052348,0.00163467303487668,0.00322256084730147
"84",48,"CC","OE",150,0.181315333333333,0.18355,0.0267476016278313,0.00218393252771411,0.00431547945394714
"85",48,"OA","CC",180,0.181388333333333,0.17985,0.0221558352655198,0.00165139845839964,0.00325871355139744
"86",48,"OA","OA",150,0.183152,0.1882,0.0391790327434383,0.00319895462790728,0.00632117649957459
"87",48,"OA","OC",210,0.169922857142857,0.16935,0.0215759956869619,0.00148888515320916,0.00293515761163961
"88",48,"OA","OE",150,0.178234666666667,0.1849,0.0326247630795309,0.00266380075080141,0.00526370538632194
"89",48,"OC","CC",210,0.168878571428571,0.17315,0.032704271085467,0.00225680911194768,0.00444902713192701
"90",48,"OC","OA",210,0.166590476190476,0.18045,0.0466604542946966,0.00321987724920382,0.0063475998777846
"91",48,"OC","OC",210,0.17477380952381,0.1725,0.0265456892356751,0.00183182658905445,0.00361122531477863
"92",48,"OC","OE",175,0.173337142857143,0.1786,0.0299377888075651,0.00226308411394258,0.00446662974313642
"93",48,"OE","CC",150,0.168509333333333,0.17,0.0245312247172813,0.00200296611076299,0.00395788742933253
"94",48,"OE","OA",150,0.103515333333333,0.1082,0.0447773443683308,0.00365605485797655,0.00722441257771623
"95",48,"OE","OC",175,0.149452571428571,0.1486,0.0250189762856964,0.00189125683741071,0.00373275743037767
"96",48,"OE","OE",100,0.158614,0.1645,0.0356447596839885,0.00356447596839885,0.00707269364001941
"97",62,"100% TY","CC",30,0.31286,0.31725,0.0214325501724958,0.00391303039811241,0.00800304576078583
"98",62,"100% TY","OA",30,0.34833,0.3544,0.0284393504702976,0.00519229125779238,0.0106194279910235
"99",62,"100% TY","OC",35,0.304571428571429,0.3077,0.0213236622424144,0.00360435677411408,0.00732493426381546
"100",62,"100% TY","OE",25,0.299604,0.2983,0.0147875082417559,0.00295750164835119,0.00610398339804453
"101",62,"50% TY","CC",30,0.2436,0.2391,0.0226975921554506,0.00414399440819753,0.00847542020047776
"102",62,"50% TY","OA",30,0.246913333333333,0.2499,0.0301272214328565,0.00550045292457621,0.0112496893664988
"103",62,"50% TY","OC",35,0.201731428571429,0.1996,0.021452804169215,0.00362618574389395,0.00736929606779466
"104",62,"50% TY","OE",25,0.230876,0.2345,0.0165938562928171,0.00331877125856343,0.00684960722692149
"105",62,"CC","CC",149,0.258384563758389,0.2591,0.0206461393709156,0.0016913976408139,0.00334240892365756
"106",62,"CC","OA",180,0.235556666666667,0.2477,0.0407563630429853,0.00303779994265918,0.00599450713377267
"107",62,"CC","OC",210,0.234957619047619,0.232,0.0297072263218791,0.00204999337483174,0.00404131483545183
"108",62,"CC","OE",150,0.239984666666667,0.245,0.0321645032087652,0.00262622068971957,0.00518944669040584
"109",62,"OA","CC",180,0.261460555555556,0.25275,0.038577267015898,0.00287537971445695,0.00567400241489543
"110",62,"OA","OA",150,0.23623,0.2334,0.0431241920457336,0.00352107553606121,0.00695769165889598
"111",62,"OA","OC",210,0.227735238095238,0.22385,0.0304857531427367,0.00210371682944155,0.004147224150473
"112",62,"OA","OE",150,0.24008,0.25095,0.0405284505256915,0.00330913412845256,0.00653889264456328
"113",62,"OC","CC",210,0.235240952380952,0.2399,0.0414890605175545,0.0028630171752635,0.00564409325737233
"114",62,"OC","OA",210,0.209919523809524,0.21485,0.04558599896029,0.00314573278707125,0.00620143300794898
"115",62,"OC","OC",210,0.225782857142857,0.21985,0.0323402025338687,0.00223168599507791,0.00439949993531989
"116",62,"OC","OE",175,0.226851428571429,0.2343,0.0373364477207892,0.00282237015736493,0.00557048781941416
"117",62,"OE","CC",149,0.228938926174497,0.228,0.0251153035919294,0.00205752583960351,0.00406592309283199
"118",62,"OE","OA",150,0.143474666666667,0.1394,0.040542971132829,0.00331031973106064,0.00654123541094034
"119",62,"OE","OC",175,0.198225142857143,0.1948,0.0238161334976592,0.00180033046931203,0.00355329683601319
"120",62,"OE","OE",100,0.210311,0.2187,0.0406614897226435,0.00406614897226435,0.00806812171844262
