strain,genospecies,replicate,OD_blanked
SM152B,OA,1,0.091
SM137B,OA,1,0.084
SM152A,OA,1,0.074
SM145B,OA,1,0.085
SM154C,OA,1,0.043
SM144A,OA,1,0.084
SM147A,OC,1,0.06
SM158,OC,1,0.064
SM170C,OC,1,0.075
SM157B,OC,1,0.071
SM165A,OC,1,0.083
SM122A,OC,1,0.074
SM149A,OE,1,0.075
SM126B,OC,1,0.05
SM135B,OE,1,0.081
SM135A,OE,1,0.075
SM159,OE,1,0.073
SM168A,OE,1,0.07
SM41,CC,1,0.063
SM53,CC,1,0.068
SM57,CC,1,0.073
SM77,CC,1,0.06
SM74,CC,1,0.076
SM67,CC,1,0.075
SM152B,OA,2,0.088
SM137B,OA,2,0.088
SM152A,OA,2,0.087
SM145B,OA,2,0.087
SM154C,OA,2,0.045
SM144A,OA,2,0.082
SM147A,OC,2,0.066
SM158,OC,2,0.061
SM170C,OC,2,0.073
SM157B,OC,2,0.073
SM165A,OC,2,0.082
SM122A,OC,2,0.077
SM149A,OE,2,0.073
SM126B,OC,2,0.052
SM135B,OE,2,0.079
SM135A,OE,2,0.065
SM159,OE,2,0.073
SM168A,OE,2,0.066
SM41,CC,2,0.05
SM53,CC,2,0.06
SM57,CC,2,0.07
SM77,CC,2,0.047
SM74,CC,2,0.062
SM67,CC,2,0.065
SM152B,OA,3,0.093
SM137B,OA,3,0.09
SM152A,OA,3,0.09
SM145B,OA,3,0.087
SM154C,OA,3,0.069
SM144A,OA,3,0.096
SM147A,OC,3,0.077
SM158,OC,3,0.075
SM170C,OC,3,0.08
SM157B,OC,3,0.077
SM165A,OC,3,0.083
SM122A,OC,3,0.085
SM149A,OE,3,0.08
SM126B,OC,3,0.056
SM135B,OE,3,0.088
SM135A,OE,3,0.074
SM159,OE,3,0.069
SM168A,OE,3,0.073
SM41,CC,3,0.063
SM53,CC,3,0.068
SM57,CC,3,0.075
SM77,CC,3,0.065
SM74,CC,3,0.075
SM67,CC,3,0.078
SM152B,OA,4,0.292
SM137B,OA,4,0.325
SM152A,OA,4,0.325
SM145B,OA,4,0.317
SM154C,OA,4,0.271
SM144A,OA,4,0.25
SM147A,OC,4,0.216
SM158,OC,4,0.273
SM170C,OC,4,0.257
SM137B,OC,4,0.257
SM165A,OC,4,0.263
SM122A,OC,4,0.213
SM149A,OE,4,0.267
SM126B,OC,4,0.099
SM135B,OE,4,0.246
SM135A,OE,4,0.236
SM159,OE,4,0.207
SM168A,OE,4,0.19
SM41,CC,4,0.172
SM53,CC,4,0.198
SM57,CC,4,0.2
SM77,CC,4,0.152
SM74,CC,4,0.244
SM67,CC,4,0.222